text,label
Space agency unveils plans for human mission to Mars.,Real
NASA confirms water on Mars,Real
Massive underwater pyramid discovered in the Pacific Ocean.,Fake
Billionaire builds hidden underground city for survivalists.,Real
Secret government experiment leads to creation of superhuman beings.,Fake
Education system sees major revamp with online learning programs.,Real
Space agency unveils plans for human mission to Mars.,Real
Hidden cure for aging found in remote Amazon rainforest.,Fake
Secret government experiment leads to creation of superhuman beings.,Real
Secret government experiment leads to creation of superhuman beings.,Real
Researchers find evidence of water on distant exoplanet.,Fake
Education system sees major revamp with online learning programs.,Real
Tech company launches innovative AI-powered smartphone.,Real
Scientists discover a breakthrough in cancer research.,Fake
Scientists confirm existence of parallel universe through portal.,Fake
Electric vehicles gain popularity as charging stations increase.,Real
Scientists discover a breakthrough in cancer research.,Real
Government implements new economic reforms to boost employment.,Fake
Scientists confirm existence of parallel universe through portal.,Fake
Scientists confirm existence of parallel universe through portal.,Real
Ancient artifact discovered with unknown alien inscriptions.,Fake
Stock markets show positive growth following policy changes.,Real
Mysterious signals from outer space decoded as extraterrestrial messages.,Real
Billionaire builds hidden underground city for survivalists.,Real
Billionaire builds hidden underground city for survivalists.,Real
Hidden cure for aging found in remote Amazon rainforest.,Real
Scientists confirm existence of parallel universe through portal.,Fake
Massive underwater pyramid discovered in the Pacific Ocean.,Fake
Tech company launches innovative AI-powered smartphone.,Fake
Medical experts recommend new dietary guidelines for heart health.,Fake
Hidden cure for aging found in remote Amazon rainforest.,Real
Space agency unveils plans for human mission to Mars.,Real
Climate change initiatives lead to reduction in carbon emissions.,Real
Space agency unveils plans for human mission to Mars.,Real
Robot uprising imminent as AI reaches self-awareness.,Fake
Researchers find evidence of water on distant exoplanet.,Real
New research proves that time travel is possible with quantum physics.,Real
Robot uprising imminent as AI reaches self-awareness.,Fake
Climate change initiatives lead to reduction in carbon emissions.,Fake
Scientists discover a breakthrough in cancer research.,Fake
Massive underwater pyramid discovered in the Pacific Ocean.,Fake
Billionaire builds hidden underground city for survivalists.,Real
Space agency unveils plans for human mission to Mars.,Real
Scientists confirm existence of parallel universe through portal.,Fake
Education system sees major revamp with online learning programs.,Real
Billionaire builds hidden underground city for survivalists.,Real
Tech company launches innovative AI-powered smartphone.,Real
New research proves that time travel is possible with quantum physics.,Fake
Ancient artifact discovered with unknown alien inscriptions.,Real
Researchers find evidence of water on distant exoplanet.,Fake
Robot uprising imminent as AI reaches self-awareness.,Real
Education system sees major revamp with online learning programs.,Real
Researchers find evidence of water on distant exoplanet.,Real
Scientists discover a breakthrough in cancer research.,Fake
Electric vehicles gain popularity as charging stations increase.,Real
Stock markets show positive growth following policy changes.,Fake
Researchers find evidence of water on distant exoplanet.,Fake
Robot uprising imminent as AI reaches self-awareness.,Fake
Scientists confirm existence of parallel universe through portal.,Real
Scientists discover a breakthrough in cancer research.,Real
Stock markets show positive growth following policy changes.,Real
Researchers find evidence of water on distant exoplanet.,Real
New research proves that time travel is possible with quantum physics.,Fake
Mysterious signals from outer space decoded as extraterrestrial messages.,Fake
Billionaire builds hidden underground city for survivalists.,Fake
Education system sees major revamp with online learning programs.,Real
New research proves that time travel is possible with quantum physics.,Fake
Education system sees major revamp with online learning programs.,Real
Mysterious signals from outer space decoded as extraterrestrial messages.,Fake
"Aliens predicted to make contact with Earth in 2025, expert claims.",Real
Robot uprising imminent as AI reaches self-awareness.,Real
Billionaire builds hidden underground city for survivalists.,Fake
"Aliens predicted to make contact with Earth in 2025, expert claims.",Fake
Climate change initiatives lead to reduction in carbon emissions.,Fake
Billionaire builds hidden underground city for survivalists.,Fake
"Aliens predicted to make contact with Earth in 2025, expert claims.",Real
Government implements new economic reforms to boost employment.,Fake
Space agency unveils plans for human mission to Mars.,Fake
Climate change initiatives lead to reduction in carbon emissions.,Fake
